titleHebrew,titleEnglish,genre,CEFR,hebrew,english,hebrewNoNiqqud
יוֹם בְּלֻנְדְּעוֹם,A Day at an Amusement Park,monologue,A1,,,
יוֹם בַּגַּן הַחַיּוֹת,A Day at the Zoo,monologue,A1,,,
יוֹם בַּכְּפָר,A Day in the Countryside,monologue,A1,,,
לִשְׁאֹל עַל כִּוּוּנִים,Asking for Directions,dialogue,A1,,,
לְבַקֵּשׁ עֶזְרָה בַּשְּׂדֵה הַתְּעוּפָה,Asking for Help at the Airport,dialogue,A1,,,
לְבַקֵּשׁ גִּישָׁה לְוַי־פַי,Asking for Wi-Fi Access,dialogue,A1,,,
אֵצֶל הַשִּׁנַּנְתָּן,At the Dentist,dialogue,A1,,,
אֲפִיַּת עוּגוּיוֹת,Baking Cookies,monologue,A1,"הַיּוֹם אֲנִי אוֹפֶה עוּגִיּוֹת.
אֲנִי לוֹקֵחַ קֶמַח, סֻכָּר וּבֵיצִים.
אֲנִי שָׂם גַּם שׁוֹקוֹלָד קָטָן.
אֲנִי עוֹרֵב אֶת הַכֹּל בְּקְעָרָה.
אַחֲרֵי זֹאת אֲנִי שָׂם אֶת הַבָּצֵק עַל תַּבְנִית.
הָעוּגִיּוֹת נִמְצָאוֹת בַּתַּנּוּר.
אַחֲרֵי עֶשֶׂר דַּקּוֹת הֵן מוּכָנוֹת.
אֲנִי אוֹהֵב לֶאֱכוֹל עוּגִיּוֹת חַמּוֹת.","Today I am baking cookies. I take flour, sugar, and eggs. I also add a little chocolate. I mix everything in a bowl. After that I put the dough on a tray. The cookies are in the oven. After ten minutes they are ready. I like to eat warm cookies.","היום אני אופֶה עוגיות.
אני לוקח קמח, סוכר וביצים.
אני שם גם שוקולד קטן.
אני עורב את הכל בקערה.
אחרי זאת אני שם את הבצק על תבנית.
העוגיות נמצאות בתנור.
אחרי עשר דקות הן מוכנות.
אני אוהב לאכול עוגיות חמות."
הַזְמָנַת חֶדֶר בְּמָלוֹן,Booking a Hotel Room,dialogue,A1,,,
רִישּׁוּם כְּנִיסָה לְמָלוֹן,Checking into a Hotel,dialogue,A1,,,
נִקָּיוֹן הַחֶדֶר שֶׁלִּי,Cleaning My Room,monologue,A1,,,
קוֹסְטָה דֶּל סוֹל,Costa del Sol,travel,A1,,,
הֶבְטֵי סִכּוּן שֶׁל רֶשֶׁת הַחֶבְרָתִית,Dangerous Aspects of Social Media,technology,A1,,,
נְאוֹת מִדְבָּר,Desert Oases,science,A1,,,
דִּיּוּן עַל אַלֶּרְגִּיָּה,Discussing an Allergy,dialogue,A1,,,
הַאִם לַחַיּוֹת יֵשׁ אִישִׁיּוּת?,Do Animals Have Personalities?,psychology,A1,,,
