English,CEFR,gender,word,wordAudio,pronunciation,transliteration,definition,sentenceAudio,example,sentenceTranslation
father,A1,masculine,אב,X,אָב,av,גבר שנתן חיים לילד,X,האב בבית.,The father is at home.
prototype,B2,masculine,אב טיפוס,,אַב־טִיפּוּס,av tipús,דגם ראשוני לניסיון,,כל מכון טכנולוגי מפתח אב-טיפוס חדש.,Every tech institute develops a new prototype.
dad,A1,masculine,אבא,X,אַבָּא,ába,כינוי חיבה לגבר שנתן חיים לילד,X,אבא שלי עובד.,My dad is working.
loss,A2,feminine,אבדה,X,אֲבֵדָה,avedá,חוסר של דבר מה,,אמא עצבה מאבדת הטבעת.,The mother was sad about the loss of the ring.
devastation,C,masculine,אבדון,,אֲבַדּוֹן,avadón,חורבן מוחלט ואובדן,,המלחמה גרמה לאבדון של ערים שלמות.,The war brought devastation to entire cities.
evolution,B2,feminine,אבולוציה,,אַבּוֹלוּצְיָה,evolútsya,תהליך ההתפתחות של מינים,,התאוריה של אבולוציה שינתה את ההבנה המדעית.,The theory of evolution changed scientific understanding.
watermelon,A1,masculine,אבטיח,X,אֲבַטִּיחַ,avatíakh,פרי גדול עם קליפה ירוקה ותוך אדום מתוק,X,אני אוכל אבטיח בקיץ.,I eat watermelon in the summer.
springtime,A1,masculine,אביב,X,אָבִיב,avív,עונה בשנה שבה הכול פורח,X,האביב יפה.,Spring is beautiful.
"but, however",A1,,אבל,X,אֲבָל,avál,מילת קישור המציינת ניגוד,X,"אני רוצה גלידה, אבל אין.","I want ice cream, but there is none."
stone,A2,feminine,אבן,X,אֶבֶן,éven,גוש קטן קשה ממשטח טבעי,,יש אבן גדולה בגן.,There is a big stone in the garden.
gemstone,B2,feminine,אבן יקרה,,אֶבֶן יְקָרָה,éven ykará,אבן בעלת ערך רב,,היא ענדה אבן יקרה בצווארה.,She wore a gemstone on her necklace.
stumbling stone,C,feminine,אבן נגף,,אֶבֶן נֶגֶף,éven négef,מכשול שמקשה על הדרך,,הנושא הפך לאבן נגף במשא ומתן.,The issue became a stumbling block in the negotiations.
lithium,C,masculine,אבנן,,אַבְנָן,avnán,מתכת קלה המשמשת לתעשייה,,המדען השתמש באבנן במחקר על סוללות.,The scientist used lithium in research on batteries.
chicken pox,B2,feminine,אבעבועות רוח,,אַבְעַבּוּעוֹת רוּחַ,avabuót rúaħ,מחלת ילדות עם שלפוחיות בעור,,ילדים רבים חלו באבבועות רוח בשנה שעברה.,Many children caught chicken pox last year.
dust,A2,masculine,אבק,X,אָבָק,avák,חלקיקים דקים המתפזרים באוויר,,יש הרבה אבק בחדר הזה.,There is a lot of dust in this room.
powder,B1,feminine,אבקה,,אַבְקָה,avká,חומר דקיק המתפזר,,הוא שם אבקה בתה.,He put powder in the tea.
"legend, myth",B1,feminine,אגדה,,אַגָּדָה,agadá,סיפור עם דמויות פלאיות,,הסיפור הזה הוא אגדה מתוקה.,This story is a sweet legend.
"nut, walnut",A2,masculine,אגוז,X,אֱגוֹז,egóz,פרי יבש קשה עם קליפה,,אני אוהב לאכול אגוזים.,I like eating nuts.
