English,CEFR,gender,word,wordWithNiqqud,transliteration,definition,example,exampleWithNiqqud,translation
"a bit, some",A2,adjective,קצת,קְצָת,ktsát,בכמות קטנה,אני צריך קצת מנה נוספת.,אֲנִי צָרִיךְ קְצָת מָנָה נוֹסֶפֶת.,I need a bit more food.
"a lot, many",A1,adjective,הרבה,הרְבֵּה,harbé,כמות גדולה או מספר רב,יש הרבה ספרים בחנות.,יֵשׁ הַרְבֵּה סְפָרִים בַּחֲנוּת.,There are many books in the store.
"a lot, mass",A2,masculine,המון,הַמוֹן,hamón,קהל רב או מספר גדול,יש המון אנשים ברחוב.,יֵשׁ הָמוֹן אֲנָשִׁים בָּרְחוֹב.,There are a lot of people on the street.
ability,B1,feminine,יכולת,יְכוֹלֶת,yħólet,יכולת לעשות דבר מה,יש לי יכולת לדבר שלוש שפות.,יֵשׁ לִי יְכׂולֶת לְדַבֵּר שָׁלוֹשׁ שָׂפוֹת.,I have the ability to speak three languages.
about to,B1,verb,עמד,עָמַד,amád,עמד לעשות דבר,המטוס עמד להמריא.,הַמַּטּוֹס עָמַד לְהִמְרִיא.,The plane was about to take off.
absent,B1,adjective,חסר,חָסֵר,khasér,שאינו קיים,המדע החשוב חסר בדוח.,הַמִּדָּע הַחָשׁוּב חָסֵר בַּדּוּחַ.,The important information is absent from the report.
academic,B2,adjective,אקדמי,אַקָּדֶמִי,akadémi,שייך לאקדמיה,הוא סיים מסלול לימוד אקדמי באוניברסיטה.,הוּא סִיֵּם מַסְלוּל לִימּוּד אַקָּדֵמִי בָּאוּנִיבֶרְסִיטָה.,He completed an academic program at the university.
academy,B2,feminine,אקדמיה,אַקָּדֶמְיָה,akadémya,מוסד להשכלה גבוהה,האקדמיה היא מקום לחקירה ולמוד.,הָאַקָּדֶמְיָה הִיא מָקוֹם לְחֲקִירָה וְלִמּוּד.,The academy is a place for research and learning.
accent,B1,masculine,מבטא,מִבְטָא,mivtá,אופן דיבור של שפה,יש לך מבטא חזק בעברית.,יֵשׁ לָךְ מִבְטָא חָזָק בְּעִבְרִית.,You have a strong accent in Hebrew.
"accept, receive, get",A2,verb,קיבל,קִבֵּל,kibél,קיבל לידיו דבר מה,הוא קיבל מתנה ליום הולדתו.,הוּא קִבֵּל מַתָּנָה לַיּוֹם הֻלַּדְתּוֹ.,He received a gift for his birthday.
acceptance,B1,feminine,קבלה,קַבָּלָה,kabalá,קבלה או אישור,הקבלה לאוניברסיטה קשה מאוד.,הַקַּבָּלָה לָאוּנִיבֶרְסִיטָה קָשָׁה מְאוֹד.,The acceptance to the university is very difficult.
"accepted, normal",B1,masculine,מקובל,מְקוּבָּל,mkubál,מה שמקובל בחברה,זה מקובל לתת מתנה ביום הלדת.,זֶה מִקּוּבָּל לְתֵת מַתָּנָה בְּיוֹם הֻלֶּדֶת.,It is accepted to give a gift on a birthday.
access,B2,feminine,גישה,גִּישָׁה,gishá,גישה או דרך הגעה,"ללא גישה נכונה, לא ניתן להגיע למידע המסתרי.","לְלֹא גִּישָׁה נְכוֹנָה, לֹא נִתָּן לְהַגִּיעַ לִמֵּידָע הַמִּסְתָּרִי.","Without access, it is impossible to reach the confidential information."
according to,B1,preposition,על פי,עַל פִּי,al pi,מילת יחס לציון מקור או סמכות,"על פי החוק, זה לא אפשרי.","עַל פִּי הַחֹק, זֶה לֹא אֶפְשָׁרִי.","According to the law, this is not possible."
"account, bill",A2,masculine,חשבון,חֶשְׁבּוֹן,ħeshbón,רישום כספי או חיוב,אני רוצה לשלם את החשבון.,אֲנִי רוֹצֶה לְשַׁלֵּם אֶת הַחֶשְׁבּוֹן.,I want to pay the bill.
acid,B2,feminine,חומצה,חוּמְצָה,ħumtsá,,חומצה זאת משמשת לניקוי תעשייתי.,חוּמְצָה זֹאת מְשַׁמֶּשֶׁת לְנִקּוּי תַּעֲשִׂיָּתִי.,This acid is used for industrial cleaning.
acidity,B2,feminine,חומציות,חוּמְצִיּוּת,ħumtsiyút,,החומציות של המיץ מקשה על העיכול.,הַחוּמְצִיּוּת שֶׁל הַמִּיץ מְקַשָּׁה עַל הָעִכּוּל.,The acidity of the juice makes digestion difficult.
action,B1,feminine,פעולה,פְּעוּלָה,piulá,פעולה שנעשית,הפעולה האחרונה שעשיתי היתה חשובה.,הַפְּעֻלָּה הָאַחֲרוֹנָה שֶׁעָשִׂיתִי הָיְתָה חָשׁוּבָה.,The last action I did was important.
active,B2,adjective,פעיל,פָּעִיל,paíl,,הוא פעיל בפוליטיקה המקומית ומשפיע על ההחלטות.,הוּא פָּעִיל בַּפּוֹלִיטִיקָה הַמְּקוֹמִית וּמְשַׁפִּיעַ עַל הַהַחְלָטוֹת.,He is active in local politics and influences decisions.
"actor, player",A2,masculine,שחקן,שַׂחְקָן,saħkán,אדם המשחק בהצגה או במשחק,השחקן נכנס לבמה.,הַשַּׂחְקָן נִכְנַס לַבָּמָה.,The actor entered the stage.
"actually, exactly",B1,adverb,דווקא,דַּוְקָא,dávka,"להיפך, דווקא כך","לא אוהב קפה, אבל דווקא הקפוץ טעים לי.","לֹא אוֹהֵב קָפֶה, אֲבָל דַּוְקָא הַקָּפוּץ טָעִים לִי.","I don’t like coffee, but actually, cappuccino tastes good to me."
adolescence,B1,masculine,גיל ההתבגרות,גִּיל הַהִתְבַּגְּרוּת,gíl hahitbagrút,שלב בחיי הנעורים,גיל ההתבגרות יכול להיות קשה.,גִּיל הַהִתְבַּגְּרוּת יָכֹל לִהְיוֹת קָשֶׁה.,Adolescence can be difficult.
advanced,A2,adjective,מתקדם,מִתְקַדֵּם,mitkadém,מתקדם קדימה מהרגיל,השעור הזה מתקדם יותר מהרגיל.,הַשִּׁעוּר הַזֶּה מִתְקַדֵּם יוֹתֵר מֵהָרָגִיל.,This lesson is more advanced than usual.
